output_dir,output_name,exists,file_path,file_name,extension,category,size_bytes,modified_time
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\figures\step11a_October_reference_baseline_vs_enriched_overlay.png,step11a_October_reference_baseline_vs_enriched_overlay.png,.png,figure_png,215970,2026-05-19T20:53:24
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\figures\step11a_solver_runtime_barplot.png,step11a_solver_runtime_barplot.png,.png,figure_png,48528,2026-05-19T20:54:55
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_configs\Config_file_step11a_single_auv.py,Config_file_step11a_single_auv.py,.py,script_copy,2966,2026-05-19T19:58:04
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_inputs\C01_representative__baseline_STD_planner_interface.nc,C01_representative__baseline_STD_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T20:10:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_inputs\C01_representative__enriched_boundary_alpha025_planner_interface.nc,C01_representative__enriched_boundary_alpha025_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T20:14:54
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_inputs\C01_representative__enriched_boundary_alpha050_planner_interface.nc,C01_representative__enriched_boundary_alpha050_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T20:18:38
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_inputs\C06_representative__baseline_STD_planner_interface.nc,C06_representative__baseline_STD_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T19:58:05
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_inputs\C06_representative__enriched_boundary_alpha025_planner_interface.nc,C06_representative__enriched_boundary_alpha025_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T20:02:36
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_inputs\C06_representative__enriched_boundary_alpha050_planner_interface.nc,C06_representative__enriched_boundary_alpha050_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T20:06:48
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_inputs\October_control__baseline_STD_planner_interface.nc,October_control__baseline_STD_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T20:22:26
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_inputs\October_control__enriched_boundary_alpha025_planner_interface.nc,October_control__enriched_boundary_alpha025_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T20:45:57
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_inputs\October_control__enriched_boundary_alpha050_planner_interface.nc,October_control__enriched_boundary_alpha050_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T20:49:39
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\C01_representative__baseline_STD_planner_interface.nc,C01_representative__baseline_STD_planner_interface.nc,.nc,map_or_planner_input,434336,2026-05-19T20:10:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\Config_file.py,Config_file.py,.py,script_copy,2966,2026-05-19T20:10:23
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\OptimalPlanning.py,OptimalPlanning.py,.py,script_copy,22277,2026-04-22T15:27:05
results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804,True,results\fossum_roi_x490_step11a_minimal_boundary_planner_runs_20260519_195804\planner_runs\C01_representative__baseline_STD\planner_command.txt,planner_command.txt,.txt,log,279,2026-05-19T20:14:54
