folder,n_files,total_bytes
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_11/Images,30,9551311
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_12/Images,30,9549604
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_12/Images,30,9504871
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_13/Images,30,9418271
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_14/Images,30,9403879
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_13/Images,30,9386915
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_14/Images,30,9309523
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_15/Images,30,9109516
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_15/Images,30,9079228
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_16/Images,30,8891385
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_16/Images,30,8842616
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Nazare_31-10-2024_17/Images,30,8671393
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Nazare_30-10-2024_17/Images,30,8497979
data/2024,20,1596990313
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_1/Images,10,3251631
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_2/Images,10,3221144
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_4/Images,10,3218837
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_3/Images,10,3216362
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_1/Images,10,3215583
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_5/Images,10,3212499
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_6/Images,10,3207289
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_7/Images,10,3198408
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_8/Images,10,3192480
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_2/Images,10,3181560
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_3/Images,10,3176495
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_4/Images,10,3174325
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_10/Images,10,3169793
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_9/Images,10,3166646
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_6/Images,10,3166165
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_12/Images,10,3165519
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_5/Images,10,3165445
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_11/Images,10,3161829
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_13/Images,10,3156817
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_7/Images,10,3155186
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_8/Images,10,3150561
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_12/Images,10,3142691
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_14/Images,10,3141915
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_10/Images,10,3135968
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_11/Images,10,3131463
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_13/Images,10,3130349
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_9/Images,10,3123575
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_14/Images,10,3118195
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_15/Images,10,3100092
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_15/Images,10,3084680
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_16/Images,10,3067201
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_16/Images,10,3057386
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_17/Images,10,3003349
data/TEST_C4/HighRes/Daily_dpt_20241030_NewTest_1/Priori_Nazare_31-10-2024_17/Images,10,2995380
data/20241029,5,89683810
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_17/input_all,5,9756526
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_16/input_all,5,9748338
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_15/input_all,5,9740038
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_14/input_all,5,9728638
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_13/input_all,5,9723214
data/TEST_D4/HighRes/Daily_dpt_20241029_NewTest_1/Priori_Nazare_30-10-2024_12/input_all,5,9719242
