date,day_index_370,step00_time_index,class_id,class_label,priority_rank,hres_window_end_date,hres_available,predmodel_path,predmodel_already_exists,generation_status
2023-12-06,40,39,6,C06,100,2023-12-05,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-06\python_dss_predModel_1_100real.nc,False,pending
2023-12-11,45,44,6,C06,107,2023-12-10,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-11\python_dss_predModel_1_100real.nc,False,pending
2023-12-12,46,45,6,C06,108,2023-12-11,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-12\python_dss_predModel_1_100real.nc,False,pending
2023-12-13,47,46,6,C06,111,2023-12-12,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-13\python_dss_predModel_1_100real.nc,False,pending
2023-12-14,48,47,6,C06,89,2023-12-13,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-14\python_dss_predModel_1_100real.nc,False,pending
2023-12-15,49,48,6,C06,37,2023-12-14,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-15\python_dss_predModel_1_100real.nc,False,pending
2023-12-16,50,49,6,C06,20,2023-12-15,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-16\python_dss_predModel_1_100real.nc,False,pending
2023-12-17,51,50,6,C06,16,2023-12-16,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-17\python_dss_predModel_1_100real.nc,False,pending
2023-12-18,52,51,6,C06,22,2023-12-17,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-18\python_dss_predModel_1_100real.nc,False,pending
2023-12-19,53,52,6,C06,24,2023-12-18,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-19\python_dss_predModel_1_100real.nc,False,pending
2023-12-20,54,53,6,C06,50,2023-12-19,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-20\python_dss_predModel_1_100real.nc,False,pending
2023-12-21,55,54,6,C06,19,2023-12-20,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-21\python_dss_predModel_1_100real.nc,False,pending
2023-12-22,56,55,6,C06,8,2023-12-21,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-22\python_dss_predModel_1_100real.nc,False,pending
2023-12-23,57,56,6,C06,33,2023-12-22,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-23\python_dss_predModel_1_100real.nc,False,pending
2023-12-24,58,57,6,C06,56,2023-12-23,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-24\python_dss_predModel_1_100real.nc,False,pending
2023-12-25,59,58,6,C06,59,2023-12-24,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-25\python_dss_predModel_1_100real.nc,False,pending
2023-12-26,60,59,6,C06,64,2023-12-25,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2023-12-26\python_dss_predModel_1_100real.nc,False,pending
2024-01-17,82,81,6,C06,78,2024-01-16,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-01-17\python_dss_predModel_1_100real.nc,False,pending
2024-01-18,83,82,6,C06,65,2024-01-17,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-01-18\python_dss_predModel_1_100real.nc,False,pending
2024-02-07,103,102,6,C06,71,2024-02-06,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-07\python_dss_predModel_1_100real.nc,False,pending
2024-02-08,104,103,6,C06,92,2024-02-07,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-08\python_dss_predModel_1_100real.nc,False,pending
2024-02-09,105,104,6,C06,96,2024-02-08,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-09\python_dss_predModel_1_100real.nc,False,pending
2024-02-12,108,107,6,C06,85,2024-02-11,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-12\python_dss_predModel_1_100real.nc,False,pending
2024-02-13,109,108,6,C06,74,2024-02-12,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-13\python_dss_predModel_1_100real.nc,False,pending
2024-02-14,110,109,6,C06,75,2024-02-13,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-14\python_dss_predModel_1_100real.nc,False,pending
2024-02-15,111,110,6,C06,72,2024-02-14,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-15\python_dss_predModel_1_100real.nc,False,pending
2024-02-16,112,111,6,C06,76,2024-02-15,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-16\python_dss_predModel_1_100real.nc,False,pending
2024-02-17,113,112,6,C06,88,2024-02-16,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-17\python_dss_predModel_1_100real.nc,False,pending
2024-02-18,114,113,6,C06,90,2024-02-17,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-18\python_dss_predModel_1_100real.nc,False,pending
2024-02-19,115,114,6,C06,82,2024-02-18,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-19\python_dss_predModel_1_100real.nc,False,pending
2024-02-20,116,115,6,C06,61,2024-02-19,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-20\python_dss_predModel_1_100real.nc,False,pending
2024-02-21,117,116,6,C06,73,2024-02-20,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-21\python_dss_predModel_1_100real.nc,False,pending
2024-02-22,118,117,6,C06,97,2024-02-21,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-02-22\python_dss_predModel_1_100real.nc,False,pending
2024-04-13,169,168,6,C06,102,2024-04-12,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-04-13\python_dss_predModel_1_100real.nc,False,pending
2024-04-14,170,169,6,C06,27,2024-04-13,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-04-14\python_dss_predModel_1_100real.nc,False,pending
2024-04-21,177,176,6,C06,53,2024-04-20,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-04-21\python_dss_predModel_1_100real.nc,False,pending
2024-04-22,178,177,6,C06,40,2024-04-21,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-04-22\python_dss_predModel_1_100real.nc,False,pending
2024-05-08,194,193,6,C06,34,2024-05-07,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-08\python_dss_predModel_1_100real.nc,False,pending
2024-05-09,195,194,6,C06,84,2024-05-08,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-09\python_dss_predModel_1_100real.nc,False,pending
2024-05-12,198,197,6,C06,28,2024-05-11,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-12\python_dss_predModel_1_100real.nc,False,pending
2024-05-13,199,198,6,C06,42,2024-05-12,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-13\python_dss_predModel_1_100real.nc,False,pending
2024-05-14,200,199,6,C06,54,2024-05-13,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-14\python_dss_predModel_1_100real.nc,False,pending
2024-05-21,207,206,6,C06,35,2024-05-20,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-21\python_dss_predModel_1_100real.nc,False,pending
2024-05-22,208,207,6,C06,18,2024-05-21,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-22\python_dss_predModel_1_100real.nc,False,pending
2024-05-25,211,210,6,C06,66,2024-05-24,True,C:\Users\E713181\Documents\Dados\FILIPA_DADOS\results\fossum_roi_x490_step10d_all_class01_class06_python_dss_20260516_162815\predmodels\2024-05-25\python_dss_predModel_1_100real.nc,False,pending
