method_name,source_of_georef,projection_used,centers_or_edges,x_orientation,y_orientation,target_name,bbox_lonlat,contained_in_hres,overlap_fraction,rmse_temperature,pearson_temperature,gradient_corr,contour_score,rank,verdict,score,normalized_rmse,mask_iou_hres_bathy,transform_family,uses_physical_axes
OPTIMIZED_TOPK_REGISTRATION_R24__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.43192728091888, -9.085251575843987, 39.531877252210116, 39.71467334914691]",True,1.0,0.8114769804950642,-0.12249382992447225,0.14091617667502004,0.304048234811185,82,COMPARATOR,-0.7905702068132574,0.8905585826318877,0.2851500265533723,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R12__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.426523573174086, -9.085254802775221, 39.534535126585446, 39.70939692313365]",True,1.0,0.8204765546430581,-0.13388435204936588,0.17910558224998396,0.3050771733492247,83,COMPARATOR,-0.793613764140022,0.9018207898902605,0.268919277748274,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R10__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.434563226783698, -9.085254802775221, 39.53450543589418, 39.70675871010978]",True,1.0,0.8144624496313313,-0.12110350712319133,0.13848623820358713,0.30470256535285195,84,COMPARATOR,-0.7954088409410961,0.8958997355961243,0.27087758895379715,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R18__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.431894377281065, -9.085254802775221, 39.53451539451686, 39.70939692313365]",True,1.0,0.8152542578313304,-0.12413382232378793,0.1387965342575741,0.3045740197599358,85,COMPARATOR,-0.7985292859508177,0.8960807406357848,0.2730018587360595,optimized_registration_topk,False
HRES_BBOX_SIMPLE_FULL_DOMAIN__local_lonlat_linear_km_midlat__edges__x_normal__y_flipped,HResNew/planner full lon/lat bbox,local_lonlat_linear_km_midlat,edges,normal,flipped,D4_predModel_TEMPpred_day0,"[-9.552703163453511, -8.919519164732524, 39.39257854223251, 39.85742145776749]",True,1.0,0.7590781157550026,-0.3848701573781299,0.01289054720692499,0.23920616532297653,86,COMPARATOR,-0.7990909226466052,0.5402691215334261,0.7032591299287065,simple_bbox,False
AXES_RELATIVE_KM_OFFSET_TO_HRES_MIN__local_lonlat_linear_km_midlat__edges__x_normal__y_flipped,relative_km_display_assumed geometry shifted to HRes projected minimum,local_lonlat_linear_km_midlat,edges,normal,flipped,D4_predModel_TEMPpred_day0,"[-9.552703163453511, -8.919519164732524, 39.39257854223251, 39.85742145776749]",True,1.0,0.7590781157550026,-0.3848701573781299,0.01289054720692499,0.23920616532297653,87,AXES_TESTED,-0.7990909226466052,0.5402691215334261,0.7032591299287065,physical_axes_relative_offset_fit,True
OPTIMIZED_TOPK_REGISTRATION_R07__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.426507329144204, -9.085254802775221, 39.534535126585446, 39.70675871010978]",True,1.0,0.8222461900032059,-0.13659435308969964,0.17871300616798938,0.30459644119110446,88,COMPARATOR,-0.7994013937950417,0.904461764384889,0.2647039298990972,optimized_registration_topk,False
OPTIMIZED_TOPK_REGISTRATION_R11__EPSG_32629_UTM29N_formula__hres_crop_centers__x_normal__y_normal,Top candidates from controlled registration table,EPSG_32629_UTM29N_formula,hres_crop_resampled_centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.431877928721024, -9.085254802775221, 39.53451539451686, 39.70675871010978]",True,1.0,0.8170224128647522,-0.1269379045500188,0.13829967770565504,0.3042381831325936,89,COMPARATOR,-0.8043846411244646,0.8987156669935702,0.26872012745618695,optimized_registration_topk,False
OLD_USER_DIRECT_KM_ROI_BBOX__EPSG_32629_UTM29N_formula__centers__x_normal__y_normal,Existing user_direct_km_roi bbox from candb_vs_userdirect_bboxes.csv,EPSG_32629_UTM29N_formula,centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.557038300819151, -9.19949090061864, 39.388889313060304, 39.576194401235796]",True,1.0,0.699455120924117,-0.1412158551751828,0.05573982353838822,0.30575464689806814,90,AXES_TESTED,-0.819328051346025,0.8588594313890704,0.2847165294947044,old_reference_bbox,True
OLD_USER_DIRECT_KM_ROI_BBOX__local_azimuthal_equidistant_spherical__centers__x_normal__y_normal,Existing user_direct_km_roi bbox from candb_vs_userdirect_bboxes.csv,local_azimuthal_equidistant_spherical,centers,normal,normal,D4_predModel_TEMPpred_day0,"[-9.556415684246387, -9.200023435648514, 39.38888931274414, 39.57619440089391]",True,1.0,0.6993179814667092,-0.14905316052871517,0.056520080376459995,0.30428715518454075,91,AXES_TESTED,-0.8273405808939065,0.8586910381456917,0.2844256379977695,old_reference_bbox,True
