stage,x0,y0,w,h,x1,y1,scale_x_idx_per_outpix,scale_y_idx_per_outpix,iou,dice,hamming,intersection,union,target_sum,pred_sum
stage3,47,56,133,66,179,121,1.1891891891891893,1.0317460317460319,0.9805419429230325,0.9901753875263809,0.018833705357142856,6803,6938,6925,6816
stage3,46,56,134,66,179,121,1.1981981981981982,1.0317460317460319,0.9805419429230325,0.9901753875263809,0.018833705357142856,6803,6938,6925,6816
stage3,45,56,135,66,179,121,1.2072072072072073,1.0317460317460319,0.9805419429230325,0.9901753875263809,0.018833705357142856,6803,6938,6925,6816
stage3,50,55,130,69,179,123,1.162162162162162,1.0793650793650793,0.9805222911556774,0.9901653675238581,0.018833705357142856,6796,6931,6925,6802
stage3,49,52,130,69,178,120,1.162162162162162,1.0793650793650793,0.9805054151624548,0.990156762668611,0.018833705357142856,6790,6925,6925,6790
stage3,48,52,131,69,178,120,1.1711711711711712,1.0793650793650793,0.9805054151624548,0.990156762668611,0.018833705357142856,6790,6925,6925,6790
stage3,47,52,132,69,178,120,1.1801801801801801,1.0793650793650793,0.9805054151624548,0.990156762668611,0.018833705357142856,6790,6925,6925,6790
stage3,46,52,133,68,178,119,1.1891891891891893,1.0634920634920635,0.9805054151624548,0.990156762668611,0.018833705357142856,6790,6925,6925,6790
stage3,45,52,134,68,178,119,1.1981981981981982,1.0634920634920635,0.9805054151624548,0.990156762668611,0.018833705357142856,6790,6925,6925,6790
stage3,44,52,135,67,178,118,1.2072072072072073,1.0476190476190477,0.9805054151624548,0.990156762668611,0.018833705357142856,6790,6925,6925,6790
stage3,50,56,130,74,179,129,1.162162162162162,1.1587301587301588,0.9804344698604517,0.9901205869533634,0.018973214285714284,6815,6951,6925,6841
stage3,49,56,131,74,179,129,1.1711711711711712,1.1587301587301588,0.9804344698604517,0.9901205869533634,0.018973214285714284,6815,6951,6925,6841
stage3,49,55,131,69,179,123,1.1711711711711712,1.0793650793650793,0.9803808424697057,0.9900932400932401,0.018973214285714284,6796,6932,6925,6803
stage3,50,55,130,67,179,121,1.162162162162162,1.0476190476190477,0.9803610108303249,0.9900831267318069,0.018973214285714284,6789,6925,6925,6789
stage3,49,55,131,67,179,121,1.1711711711711712,1.0476190476190477,0.9803610108303249,0.9900831267318069,0.018973214285714284,6789,6925,6925,6789
stage3,45,50,133,71,177,120,1.1891891891891893,1.1111111111111112,0.9803610108303249,0.9900831267318069,0.018973214285714284,6789,6925,6925,6789
stage3,45,52,134,67,178,118,1.1981981981981982,1.0476190476190477,0.9803610108303249,0.9900831267318069,0.018973214285714284,6789,6925,6925,6789
stage3,42,56,127,69,168,124,1.135135135135135,1.0793650793650793,0.9803227633069083,0.9900636214168275,0.019391741071428572,6925,7064,6925,7064
stage3,48,56,132,70,179,125,1.1801801801801801,1.0952380952380953,0.9802906056682492,0.990047221213222,0.019112723214285716,6814,6951,6925,6840
stage3,47,56,133,70,179,125,1.1891891891891893,1.0952380952380953,0.9802906056682492,0.990047221213222,0.019112723214285716,6814,6951,6925,6840
stage3,46,56,134,70,179,125,1.1981981981981982,1.0952380952380953,0.9802906056682492,0.990047221213222,0.019112723214285716,6814,6951,6925,6840
stage3,45,56,135,70,179,125,1.2072072072072073,1.0952380952380953,0.9802906056682492,0.990047221213222,0.019112723214285716,6814,6951,6925,6840
stage3,50,55,130,71,179,125,1.162162162162162,1.1111111111111112,0.9802536754107812,0.99002838634544,0.019112723214285716,6801,6938,6925,6814
stage3,49,55,131,71,179,125,1.1711711711711712,1.1111111111111112,0.9802536754107812,0.99002838634544,0.019112723214285716,6801,6938,6925,6814
stage3,50,54,131,74,180,127,1.1711711711711712,1.1587301587301588,0.9802308802308802,0.9900167601836333,0.019112723214285716,6793,6930,6925,6798
stage3,49,54,132,74,180,127,1.1801801801801801,1.1587301587301588,0.9802308802308802,0.9900167601836333,0.019112723214285716,6793,6930,6925,6798
stage3,48,54,133,74,180,127,1.1891891891891893,1.1587301587301588,0.9802308802308802,0.9900167601836333,0.019112723214285716,6793,6930,6925,6798
stage3,47,54,134,74,180,127,1.1981981981981982,1.1587301587301588,0.9802308802308802,0.9900167601836333,0.019112723214285716,6793,6930,6925,6798
stage3,46,54,135,74,180,127,1.2072072072072073,1.1587301587301588,0.9802308802308802,0.9900167601836333,0.019112723214285716,6793,6930,6925,6798
stage3,50,52,129,69,178,120,1.1531531531531531,1.0793650793650793,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,49,55,131,66,179,120,1.1711711711711712,1.0317460317460319,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,47,50,131,71,177,120,1.1711711711711712,1.1111111111111112,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,48,54,132,68,179,121,1.1801801801801801,1.0634920634920635,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,46,50,132,71,177,120,1.1801801801801801,1.1111111111111112,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,46,52,133,67,178,118,1.1891891891891893,1.0476190476190477,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,47,54,133,68,179,121,1.1891891891891893,1.0634920634920635,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,46,54,134,68,179,121,1.1981981981981982,1.0634920634920635,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,47,54,134,73,180,126,1.1981981981981982,1.1428571428571428,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,45,54,135,68,179,121,1.2072072072072073,1.0634920634920635,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,46,54,135,73,180,126,1.2072072072072073,1.1428571428571428,0.980216606498195,0.9900094800554219,0.019112723214285716,6788,6925,6925,6788
stage3,48,57,132,73,179,129,1.1801801801801801,1.1428571428571428,0.9801838024124067,0.9899927483683829,0.019252232142857144,6826,6964,6925,6865
stage3,47,57,133,73,179,129,1.1891891891891893,1.1428571428571428,0.9801838024124067,0.9899927483683829,0.019252232142857144,6826,6964,6925,6865
stage3,46,57,134,73,179,129,1.1981981981981982,1.1428571428571428,0.9801838024124067,0.9899927483683829,0.019252232142857144,6826,6964,6925,6865
stage3,45,57,135,73,179,129,1.2072072072072073,1.1428571428571428,0.9801838024124067,0.9899927483683829,0.019252232142857144,6826,6964,6925,6865
stage3,48,57,132,68,179,124,1.1801801801801801,1.0634920634920635,0.9801467414760466,0.9899738448125545,0.019252232142857144,6813,6951,6925,6839
stage3,47,57,133,68,179,124,1.1891891891891893,1.0634920634920635,0.9801467414760466,0.9899738448125545,0.019252232142857144,6813,6951,6925,6839
stage3,46,57,134,68,179,124,1.1981981981981982,1.0634920634920635,0.9801467414760466,0.9899738448125545,0.019252232142857144,6813,6951,6925,6839
stage3,45,57,135,68,179,124,1.2072072072072073,1.0634920634920635,0.9801467414760466,0.9899738448125545,0.019252232142857144,6813,6951,6925,6839
stage3,50,55,130,68,179,122,1.162162162162162,1.0634920634920635,0.9800894531813591,0.9899446225590207,0.019252232142857144,6793,6931,6925,6799
stage3,49,55,131,68,179,122,1.1711711711711712,1.0634920634920635,0.9800894531813591,0.9899446225590207,0.019252232142857144,6793,6931,6925,6799
stage3,50,55,130,66,179,120,1.162162162162162,1.0317460317460319,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,50,53,130,74,179,126,1.162162162162162,1.1587301587301588,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,47,50,131,70,177,119,1.1711711711711712,1.0952380952380953,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,50,54,131,72,180,125,1.1711711711711712,1.126984126984127,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,49,53,131,73,179,125,1.1711711711711712,1.1428571428571428,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,50,54,131,73,180,126,1.1711711711711712,1.1428571428571428,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,48,51,131,74,178,124,1.1711711711711712,1.1587301587301588,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
stage3,49,53,131,74,179,126,1.1711711711711712,1.1587301587301588,0.9800722021660649,0.9899358226371062,0.019252232142857144,6787,6925,6925,6787
