z,old_mean,new_mean,old_std,new_std,old_valid_count,new_valid_count,spatial_overlap_count_oldgrid,spatial_corr_old_vs_newResampled,spatial_rmse,spatial_bias_new_minus_old
93,15.114320755004883,14.953866004943848,0.1649363487958908,0.4318523705005646,6925,7898,6098,0.4391528472400797,0.44824114441871643,-0.21017977595329285
94,15.205180168151855,14.996240615844727,0.16166120767593384,0.4215182363986969,6925,7898,6098,0.30798523888183343,0.47782984375953674,-0.2588368058204651
95,15.22464656829834,15.003430366516113,0.15249252319335938,0.41612857580184937,6925,7898,6098,0.16457864340506498,0.4905475378036499,-0.2686259150505066
96,15.220772743225098,15.039581298828125,0.12484677135944366,0.40809619426727295,6925,7898,6098,0.042446763777500944,0.4661787450313568,-0.2171543538570404
97,15.417622566223145,15.119441032409668,0.1274464726448059,0.42117801308631897,6925,7898,6098,0.15350049403884108,0.5334458351135254,-0.3351200819015503
98,15.273117065429688,15.041218757629395,0.09744196385145187,0.41354864835739136,6925,7898,6098,0.45737115509417087,0.4621374309062958,-0.25665900111198425
99,15.161895751953125,15.091300010681152,0.10210651904344559,0.35910508036613464,6925,7898,6098,0.5703018412049908,0.3304395079612732,-0.09413270652294159
100,15.163050651550293,15.13601303100586,0.09819314628839493,0.3813944458961487,6925,7898,6098,0.417025811799493,0.35523873567581177,-0.04652265086770058
101,15.35570240020752,15.420031547546387,0.06253907829523087,0.3283502459526062,6925,7898,6098,0.28546120135375896,0.31984880566596985,0.05359812080860138
102,15.721294403076172,15.769542694091797,0.06844218820333481,0.25815826654434204,6925,7898,6098,-0.2998643901386129,0.28865179419517517,0.038977403193712234
103,16.152080535888672,16.155128479003906,0.1078663021326065,0.23813338577747345,6925,7898,6098,-0.1272518133280232,0.2686184346675873,-0.017115240916609764
104,16.452585220336914,16.213428497314453,0.14965984225273132,0.3371216952800751,6925,7898,6098,-0.44144869943019266,0.49291661381721497,-0.2688775360584259
105,16.063562393188477,15.800257682800293,0.28209826350212097,0.44131961464881897,6925,7898,6098,-0.33699331908556734,0.6535063982009888,-0.33082112669944763
106,15.684440612792969,15.588294982910156,0.3637857735157013,0.44821658730506897,6925,7898,6098,-0.45087565739192503,0.6863789558410645,-0.1681431531906128
107,15.636579513549805,15.58260440826416,0.3584139347076416,0.48425695300102234,6925,7898,6098,-0.5968438480712194,0.7336450219154358,-0.12628203630447388
108,15.992216110229492,15.873807907104492,0.36737629771232605,0.6008032560348511,6925,7898,6098,-0.6346835085620429,0.8654713034629822,-0.1953849196434021
109,16.25528907775879,16.130014419555664,0.319827675819397,0.5130149722099304,6925,7898,6098,-0.7494002340125699,0.7816510200500488,-0.1850959062576294
110,16.20491600036621,16.187719345092773,0.22750712931156158,0.4713749587535858,6925,7898,6098,-0.7042060439095678,0.641411542892456,-0.05811423808336258
111,16.30164909362793,16.370563507080078,0.20554885268211365,0.48150187730789185,6925,7898,6098,-0.6167287980178561,0.609978437423706,0.024664409458637238
112,16.39234161376953,16.563766479492188,0.17197656631469727,0.45135441422462463,6925,7898,6098,-0.590559337315541,0.5755159258842468,0.13516932725906372
113,16.081106185913086,16.464128494262695,0.2141757309436798,0.48853394389152527,6925,7898,6098,-0.13515358572118524,0.6414502859115601,0.33241158723831177
114,15.89179801940918,16.129472732543945,0.2508462369441986,0.5475630760192871,6925,7898,6098,0.30397289405803923,0.5517553091049194,0.1739264875650406
115,15.380294799804688,15.976271629333496,0.3098040819168091,0.5119539499282837,6925,7898,6098,0.2764419397011812,0.7362479567527771,0.5279573202133179
116,15.244643211364746,15.93351936340332,0.27790823578834534,0.515451967716217,6925,7898,6098,0.132373095018632,0.832490086555481,0.6287895441055298
117,15.230782508850098,15.827779769897461,0.24466735124588013,0.4944600462913513,6925,7898,6098,-0.19707634146595618,0.8069400787353516,0.5521062612533569
118,15.172771453857422,15.780198097229004,0.19252261519432068,0.48387858271598816,6925,7898,6098,-0.2139104840559725,0.7983546853065491,0.5736350417137146
119,15.082987785339355,15.77403450012207,0.15299564599990845,0.4678559899330139,6925,7898,6098,-0.09182803622907626,0.8262604475021362,0.6563300490379333
120,15.14977741241455,15.780085563659668,0.16347338259220123,0.4709785282611847,6925,7898,6098,-0.3429840904434379,0.8012832403182983,0.5918612480163574
121,15.186840057373047,15.697223663330078,0.17395496368408203,0.47877371311187744,6925,7898,6098,-0.22157493982513812,0.7037581205368042,0.46322205662727356
122,15.28574275970459,15.67862319946289,0.1994514763355255,0.4896276593208313,6925,7898,6098,-0.045623455205676795,0.620834231376648,0.33695176243782043
123,15.513065338134766,15.707040786743164,0.19514213502407074,0.4897192716598511,6925,7898,6098,-0.06684905898463657,0.5379726886749268,0.13786296546459198
124,15.742953300476074,15.833503723144531,0.15362180769443512,0.4902416467666626,6925,7898,6098,-0.0555756680570543,0.5088855028152466,0.04369853064417839
125,15.933097839355469,15.94497013092041,0.09246167540550232,0.45482972264289856,6925,7898,6098,0.13095758954175893,0.45112940669059753,-0.016807418316602707
126,16.018491744995117,16.01101303100586,0.08617845922708511,0.43480566143989563,6925,7898,6098,0.4981615986098195,0.41185262799263,-0.03470354154706001
127,15.963741302490234,16.036903381347656,0.20122040808200836,0.4322825074195862,6925,7898,6098,-0.032846395639642145,0.46099400520324707,0.01640980876982212
