run_id,strategy,case_id,vehicle_id,mission_duration_requested_h,solver_status,solver_runtime,collected_STD,collected_region_A,collected_region_B,collected_boundary,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
C01_representative__multi_auv_48h__baseline_shared_STD,baseline_shared_STD,C01_representative,1,48.0,REUSED,389.6941635608673,324.64263916015625,15.0,240.0,394.11041259765625,0.024311183020472527,0.3889789283275604,0.11507293581962585,1,2,149.531,43.2,617
C01_representative__multi_auv_48h__baseline_shared_STD,baseline_shared_STD,C01_representative,2,48.0,REUSED,389.6941635608673,313.25811767578125,137.0,31.0,494.23065185546875,0.2164296954870224,0.048973143100738525,0.14849920570850372,1,2,150.484,43.46666666666667,633
C01_representative__proxy_48h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,C01_representative,1,48.0,REUSED,318.6025650501251,363.865478515625,57.0,73.0,471.4092102050781,0.09134615212678909,0.11698717623949051,0.2371794879436493,1,2,151.255,43.733333333333334,624
C01_representative__proxy_48h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,C01_representative,2,48.0,REUSED,318.80424189567566,363.638427734375,16.0,155.0,443.85528564453125,0.025641025975346565,0.24839743971824646,0.18910256028175354,1,2,153.027,44.333333333333336,624
C01_representative__proxy_48h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,C01_representative,1,48.0,REUSED,297.7881062030792,327.81976318359375,204.0,62.0,472.5821533203125,0.3300970792770386,0.1003236249089241,0.11812297999858856,1,2,151.417,43.7,618
C01_representative__proxy_48h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,C01_representative,2,48.0,REUSED,274.94639229774475,338.3373718261719,22.0,195.0,390.40155029296875,0.03709949553012848,0.3288364112377167,0.19055649638175964,1,2,150.814,43.61666666666667,593
C01_representative__proxy_48h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,C01_representative,1,48.0,REUSED,293.6782035827637,318.34503173828125,265.0,46.0,483.9808349609375,0.42399999499320984,0.07360000163316727,0.11840000003576279,1,2,151.82,43.9,625
C01_representative__proxy_48h__vehicle_specific_7030__AUV2_region_B,vehicle_specific_7030,C01_representative,2,48.0,REUSED,301.91472816467285,281.56048583984375,0.0,408.0,320.48004150390625,0.0,0.6743801832199097,0.11570248007774353,0,1,150.358,43.38333333333333,605
C01_representative__proxy_48h__vehicle_specific_6040__AUV1_region_A,vehicle_specific_6040,C01_representative,1,48.0,REUSED,321.3014199733734,272.1741943359375,355.0,0.0,508.91845703125,0.5744336843490601,0.0,0.18284790217876434,0,1,151.024,43.68333333333333,618
C01_representative__proxy_48h__vehicle_specific_6040__AUV2_region_B,vehicle_specific_6040,C01_representative,2,48.0,REUSED,297.494681596756,263.4376220703125,0.0,531.0,262.1987609863281,0.0,0.8335949778556824,0.0,0,1,152.908,44.28333333333333,637
