method_family,method_name,interpolation,domain_tested,mask_mode,rmse,mae,mean_bias,max_abs_error,pearson,spearman,nrmse,ssim,ncc,contour_score,gradient_corr,exact_match_possible,valid_cells_used,valid_fraction,notes,composite_score,rank
B_linear_registration,similarity_manual_rot_-8.0deg,lanczos,roi,nomask,0.6736456125710143,0.5502903200844905,0.5502903200844905,1.388725857543946,-0.890211527027978,-0.8522225811531914,0.832637800594543,0.6285823461522795,-0.8902115270279782,0.08480661580671739,0.054928000595854065,False,8536,0.9953358208955224,manual similarity,0.8685417082143023,534
B_linear_registration,similarity_manual_rot_-4.0deg,linear,full,masked,0.7563517271955625,0.6050260960397774,0.6050158871967134,1.5271405212402342,-0.9342034804509175,-0.9008578089118855,0.6771580887197843,0.6718403994393513,-0.9342034804509181,0.13945190732023455,0.05581285869792632,False,24502,0.5671759259259259,manual similarity,0.8690270975958629,535
B_linear_registration,similarity_manual_rot_+8.0deg,nearest,roi,nomask,0.8858427249180387,0.821188350728702,0.821188350728702,1.3273780456542958,-0.2223077094556123,-0.31477228769909915,1.0949171558223096,0.7087357797185463,-0.22230770945561235,0.12525967161408613,-0.18064195671761513,False,8447,0.9849580223880597,manual similarity,0.8702582607876633,536
B_linear_registration,similarity_manual_rot_+8.0deg,lanczos,roi,nomask,0.880381026099402,0.8153001393354896,0.8153001393354896,1.3152101165771484,-0.2294797229020332,-0.3329692775124917,1.0881664002217453,0.693857738153169,-0.2294797229020333,0.09535855802290799,-0.10368134491282019,False,8285,0.9660680970149254,manual similarity,0.870297205108132,537
B_linear_registration,similarity_manual_rot_+8.0deg,bicubic,roi,nomask,0.8844513810659578,0.8196505900797681,0.8196505900797681,1.3257777801513662,-0.22539229868629712,-0.32098240672446743,1.0931974304010366,0.7067190771585289,-0.22539229868629718,0.0937800842625788,-0.144279017840556,False,8401,0.9795942164179104,manual similarity,0.8707580235272062,538
A_discrete_basic,resize_full_flip_h,nearest,roi,nomask,0.8430023727103809,0.761761390437297,0.761761390437297,1.4086735107421866,-0.36798941872200785,-0.4243528829373087,1.0419657285833779,0.7025481848345517,-0.36798941872200774,0.10714103273596452,-0.1644171250634829,False,8576,1.0,orientation + resize,0.871493724527043,539
A_discrete_basic,resize_full_flip_h,bicubic,roi,nomask,0.8430080221671445,0.7618043500402081,0.7618043500402081,1.4088966705322257,-0.36800000665722765,-0.42431265431505655,1.0419727114110937,0.7105159265373534,-0.3680000066572277,0.10719564221783726,-0.1795516679392385,False,8576,1.0,orientation + resize,0.8716222575857372,540
B_linear_registration,similarity_manual_rot_+8.0deg,linear,roi,nomask,0.8858302200415663,0.8211880036711847,0.8211880036711847,1.325932275390624,-0.2222953520649589,-0.3147537269650837,1.094901699575511,0.7109679129119368,-0.2222953520649588,0.08717566968150257,-0.18301065403119746,False,8447,0.9849580223880597,manual similarity,0.8717335951816756,541
A_discrete_basic,resize_full_flip_h,lanczos,roi,nomask,0.8429869570076355,0.7617934281562692,0.7617934281562692,1.4087879516601554,-0.36807221540931295,-0.4243680220732315,1.0419466745042165,0.7105572420722953,-0.3680722154093128,0.10357435192127291,-0.18018501880516016,False,8576,1.0,orientation + resize,0.8717918979865329,542
A_discrete_basic,resize_full_flip_h,linear,roi,nomask,0.8429229028417068,0.7617518928374818,0.7617518928374818,1.408810839843749,-0.36826399888328043,-0.4245306019738043,1.0418675024308852,0.7102993045589279,-0.3682639988832805,0.08155585185004148,-0.18185576248906282,False,8576,1.0,orientation + resize,0.8727565427855506,543
