class_id,image_idx_0_based,day_index,date,rmse
3,266,267,2024-07-20,0.3910623788833618
3,350,351,2024-10-12,0.41876134276390076
3,359,360,2024-10-21,0.4187672436237335
3,2,3,2023-10-30,0.42045533657073975
3,364,365,2024-10-26,0.4783651828765869
3,1,2,2023-10-29,0.5014838576316833
3,277,278,2024-07-31,0.5035046935081482
3,0,1,2023-10-28,0.5949503183364868
4,142,143,2024-03-18,0.07525031268596649
4,166,167,2024-04-11,0.10426709800958633
4,187,188,2024-05-02,0.1071367934346199
4,162,163,2024-04-07,0.10970163345336914
4,141,142,2024-03-17,0.11411081999540329
4,143,144,2024-03-19,0.11932872235774994
4,180,181,2024-04-25,0.12484263628721237
4,163,164,2024-04-08,0.1273348033428192
4,160,161,2024-04-05,0.13512174785137177
4,181,182,2024-04-26,0.13986748456954956
4,121,122,2024-02-26,0.1401059776544571
4,74,75,2024-01-10,0.14190706610679626
4,75,76,2024-01-11,0.14323852956295013
4,122,123,2024-02-27,0.14461518824100494
4,159,160,2024-04-04,0.14891260862350464
4,73,74,2024-01-09,0.14925549924373627
4,161,162,2024-04-06,0.1507936269044876
4,188,189,2024-05-03,0.15323705971240997
4,182,183,2024-04-27,0.15332017838954926
4,186,187,2024-05-01,0.1578574776649475
4,72,73,2024-01-08,0.17125855386257172
4,183,184,2024-04-28,0.18578128516674042
4,185,186,2024-04-30,0.18648727238178253
4,76,77,2024-01-12,0.19126027822494507
4,164,165,2024-04-09,0.1922803372144699
4,165,166,2024-04-10,0.1949596107006073
4,140,141,2024-03-16,0.20307670533657074
4,144,145,2024-03-20,0.20338955521583557
4,71,72,2024-01-07,0.20927338302135468
4,158,159,2024-04-03,0.21202024817466736
4,123,124,2024-02-28,0.22003144025802612
4,120,121,2024-02-25,0.2267882078886032
4,184,185,2024-04-29,0.2373429536819458
4,172,173,2024-04-17,0.2388126701116562
4,70,71,2024-01-06,0.2545614540576935
4,124,125,2024-02-29,0.25910112261772156
4,167,168,2024-04-12,0.27079325914382935
4,171,172,2024-04-16,0.27459678053855896
4,97,98,2024-02-02,0.27599871158599854
4,77,78,2024-01-13,0.28071433305740356
4,96,97,2024-02-01,0.2951762080192566
4,189,190,2024-05-04,0.3029879629611969
4,320,321,2024-09-12,0.3095729351043701
4,125,126,2024-03-01,0.3114376664161682
4,119,120,2024-02-24,0.31464827060699463
4,85,86,2024-01-21,0.3209420442581177
4,313,314,2024-09-05,0.3223535716533661
4,213,214,2024-05-28,0.3300858736038208
4,148,149,2024-03-24,0.33044561743736267
4,86,87,2024-01-22,0.330564022064209
4,214,215,2024-05-29,0.3334931433200836
4,321,322,2024-09-13,0.34549418091773987
4,147,148,2024-03-23,0.345956027507782
4,139,140,2024-03-15,0.3567902147769928
4,146,147,2024-03-22,0.3597502112388611
4,95,96,2024-01-31,0.3714759349822998
4,91,92,2024-01-27,0.3744626045227051
4,126,127,2024-03-02,0.37871164083480835
4,215,216,2024-05-30,0.37881913781166077
4,90,91,2024-01-26,0.38075536489486694
4,78,79,2024-01-14,0.3846481740474701
4,69,70,2024-01-05,0.3866802453994751
4,179,180,2024-04-24,0.4005834460258484
4,87,88,2024-01-23,0.4017818868160248
4,145,146,2024-03-21,0.40219396352767944
4,84,85,2024-01-20,0.4022679328918457
4,157,158,2024-04-02,0.4039040803909302
4,149,150,2024-03-25,0.408742755651474
4,92,93,2024-01-28,0.40995556116104126
4,88,89,2024-01-24,0.4166364073753357
4,314,315,2024-09-06,0.4205958843231201
4,93,94,2024-01-29,0.4212817847728729
4,98,99,2024-02-03,0.42217299342155457
4,94,95,2024-01-30,0.42292019724845886
4,65,66,2024-01-01,0.425040602684021
4,190,191,2024-05-05,0.42893826961517334
4,118,119,2024-02-23,0.43459174036979675
4,89,90,2024-01-25,0.4420219659805298
4,192,193,2024-05-07,0.4431799352169037
4,66,67,2024-01-02,0.4449399411678314
4,67,68,2024-01-03,0.44580623507499695
4,216,217,2024-05-31,0.44739294052124023
4,68,69,2024-01-04,0.4503311812877655
4,129,130,2024-03-05,0.4514394998550415
4,127,128,2024-03-03,0.4558652341365814
4,322,323,2024-09-14,0.4578774869441986
4,136,137,2024-03-12,0.4656944274902344
4,191,192,2024-05-06,0.47658172249794006
4,173,174,2024-04-18,0.4813738167285919
4,128,129,2024-03-04,0.4906045198440552
4,131,132,2024-03-07,0.5033878087997437
4,132,133,2024-03-08,0.5070562958717346
4,156,157,2024-04-01,0.5161085724830627
4,130,131,2024-03-06,0.5170078873634338
4,178,179,2024-04-23,0.5217542052268982
4,319,320,2024-09-11,0.5241250991821289
4,138,139,2024-03-14,0.5305530428886414
4,135,136,2024-03-11,0.5500295162200928
4,133,134,2024-03-09,0.5514888167381287
4,150,151,2024-03-26,0.5589157342910767
4,137,138,2024-03-13,0.5591423511505127
4,155,156,2024-03-31,0.5738977193832397
4,134,135,2024-03-10,0.6081491708755493
