z,filepath,lon_min,lon_max,lat_min,lat_max,mean_norm,std_norm,min_norm,max_norm
108,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z108.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5042129158973694,0.2726760804653168,-1.0721752643585205,0.1977723240852356
109,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z109.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.308953195810318,0.23738427460193634,-0.7292671203613281,0.29351919889450073
110,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z110.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3463403880596161,0.16886161267757416,-0.7121961116790771,0.215585857629776
111,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z111.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.2745436131954193,0.15256360173225403,-0.6565293073654175,0.16140341758728027
112,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z112.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.2072294056415558,0.12764538824558258,-0.5362882614135742,0.1354256421327591
113,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z113.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.43823644518852234,0.15896670520305634,-0.8591567277908325,-0.015246904455125332
114,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z114.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5787449479103088,0.18618451058864594,-1.0974111557006836,-0.08575782179832458
115,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z115.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.9583964347839355,0.22994448244571686,-1.42695951461792,-0.4301510155200958
116,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z116.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.0590795278549194,0.20627057552337646,-1.40469229221344,-0.5778534412384033
117,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z117.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.0693676471710205,0.18159836530685425,-1.3742613792419434,-0.45167505741119385
118,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z118.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.1124247312545776,0.14289520680904388,-1.3460568189620972,-0.5162485837936401
119,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z119.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.1790659427642822,0.11355727910995483,-1.377230167388916,-0.8123967051506042
120,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z120.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.129491925239563,0.12133412808179855,-1.3683233261108398,-0.7745427489280701
121,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z121.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.1019830703735352,0.1291138231754303,-1.390589952468872,-0.8205609321594238
122,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z122.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-1.0285751819610596,0.14803798496723175,-1.380941390991211,-0.7649543285369873
123,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z123.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.8598510026931763,0.14483948051929474,-1.2428874969482422,-0.6269606351852417
124,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z124.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.6892210245132446,0.11402202397584915,-1.0283839702606201,-0.5387558341026306
125,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z125.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5480909943580627,0.06862741708755493,-0.8086451292037964,-0.45705747604370117
126,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z126.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.4847102761268616,0.0639638602733612,-0.7166491150856018,-0.36474788188934326
127,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z127.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.5253468155860901,0.14935092628002167,-0.9422855973243713,-0.2342020869255066
128,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z128.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.24080578982830048,0.17545828223228455,-0.7559874057769775,0.04635795205831528
129,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z129.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,0.17441242933273315,0.17124390602111816,-0.3878433108329773,0.49932411313056946
130,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z130.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,0.4526977241039276,0.1427837461233139,-0.0117954695597291,0.7910581231117249
131,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z131.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,0.31234678626060486,0.1703493893146515,-0.1432090699672699,0.6341876983642578
132,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z132.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.12574666738510132,0.4193166196346283,-1.0343220233917236,0.4322023391723633
133,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z133.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.1459732949733734,0.43799111247062683,-1.0662378072738647,0.49034443497657776
134,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z134.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.25569117069244385,0.4440908432006836,-1.153820514678955,0.4048527479171753
135,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z135.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3753543496131897,0.44482359290122986,-1.174602746963501,0.3462179899215698
136,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z136.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3643812835216522,0.3862340450286865,-1.0795977115631104,0.31430143117904663
137,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z137.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3379582166671753,0.3141755163669586,-0.9727171063423157,0.2504711151123047
138,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z138.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3585163652896881,0.3074187636375427,-1.0113128423690796,0.2601189911365509
139,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z139.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3736982047557831,0.3283446133136749,-1.105575442314148,0.2820592522621155
140,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z140.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.38571053743362427,0.3739475905895233,-1.2703496217727661,0.3405538499355316
141,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z141.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.2582519054412842,0.3582821786403656,-1.0789358615875244,0.41923749446868896
142,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z142.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.16909947991371155,0.3344050645828247,-0.8350242972373962,0.4954380393028259
143,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z143.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.4727720618247986,0.4177209436893463,-1.4243108034133911,0.3514135479927063
144,results/fossum/pngs_normalized_surface_300_thesis/X_surface_norm_z144.png,-9.55555534362793,-8.916666984558105,39.38888931274414,39.86111068725586,-0.3860793709754944,0.3995032012462616,-1.39608633518219,0.3937198221683502
