z,filepath,x_index_min,x_index_max,y_index_min,y_index_max,mean_temp,std_temp,min_temp,max_temp,missing_fraction
44,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z044.png,1.0,112.0,1.0,64.0,16.2252254486084,0.1787530928850174,15.946252822875977,16.58099937438965,0.033900669642857095
45,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z045.png,1.0,112.0,1.0,64.0,16.239534378051758,0.1738010197877884,15.968000411987305,16.604000091552734,0.033900669642857095
46,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z046.png,1.0,112.0,1.0,64.0,16.250286102294922,0.1650426983833313,15.942000389099121,16.610891342163086,0.033900669642857095
47,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z047.png,1.0,112.0,1.0,64.0,16.21588134765625,0.1439192295074463,15.928999900817871,16.543846130371094,0.033900669642857095
48,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z048.png,1.0,112.0,1.0,64.0,16.180185317993164,0.1451859325170517,15.954000473022461,16.46729850769043,0.033900669642857095
49,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z049.png,1.0,112.0,1.0,64.0,16.223695755004883,0.10987395793199539,16.07554054260254,16.44791030883789,0.033900669642857095
50,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z050.png,1.0,112.0,1.0,64.0,16.295719146728516,0.11015694588422775,16.017000198364258,16.507909774780273,0.033900669642857095
51,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z051.png,1.0,112.0,1.0,64.0,16.239267349243164,0.13877898454666138,15.920000076293945,16.44280242919922,0.033900669642857095
52,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z052.png,1.0,112.0,1.0,64.0,16.164512634277344,0.09890320152044296,15.930648803710938,16.354999542236328,0.033900669642857095
53,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z053.png,1.0,112.0,1.0,64.0,15.978342056274414,0.11063000559806824,15.699405670166016,16.2549991607666,0.033900669642857095
54,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z054.png,1.0,112.0,1.0,64.0,15.792871475219727,0.10702503472566605,15.489577293395996,16.070999145507812,0.033900669642857095
55,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z055.png,1.0,112.0,1.0,64.0,15.658156394958496,0.09970637410879135,15.388134956359863,15.892999649047852,0.033900669642857095
56,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z056.png,1.0,112.0,1.0,64.0,15.499907493591309,0.07974471896886826,15.288396835327148,15.6850004196167,0.033900669642857095
57,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z057.png,1.0,112.0,1.0,64.0,15.245719909667969,0.09170283377170563,14.712432861328125,15.42199993133545,0.033900669642857095
58,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z058.png,1.0,112.0,1.0,64.0,15.091797828674316,0.15167005360126495,14.087864875793457,15.347000122070312,0.033900669642857095
59,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z059.png,1.0,112.0,1.0,64.0,15.060430526733398,0.11508025974035263,14.515918731689453,15.29800033569336,0.033900669642857095
60,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z060.png,1.0,112.0,1.0,64.0,14.999641418457031,0.10436708480119705,14.767162322998047,15.243000030517578,0.033900669642857095
61,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z061.png,1.0,112.0,1.0,64.0,14.90783405303955,0.11123177409172058,14.723090171813965,15.148937225341797,0.033900669642857095
62,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z062.png,1.0,112.0,1.0,64.0,14.803951263427734,0.12753243744373322,14.574297904968262,15.05085563659668,0.033900669642857095
63,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z063.png,1.0,112.0,1.0,64.0,14.762299537658691,0.14167845249176025,14.558586120605469,15.036784172058105,0.033900669642857095
64,results/plots/deterministic_2024_surface_300_thesis_indexed_axes/TEMP_surface_2024_z064.png,1.0,112.0,1.0,64.0,14.822835922241211,0.1136433333158493,14.63293743133545,15.151865005493164,0.033900669642857095
