run_id,strategy,base_strategy,case_id,vehicle_id,mission_duration_requested_h,solver_status,solver_runtime,collected_STD,collected_region_A,collected_region_B,collected_boundary,fraction_path_region_A,fraction_path_region_B,fraction_path_boundary_core,crossing_count,regions_visited,trajectory_length,mission_duration,sampled_cells
October_control__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,October_control,1,24.0,REUSED,260.68045258522034,180.27532958984375,0.0,205.0,55.53916549682617,0.0,0.6528662443161011,0.0,0,1,77.184,22.216666666666665,314
October_control__multi_auv_24h__baseline_shared_STD,baseline_shared_STD,baseline_shared_STD,October_control,2,24.0,REUSED,260.68045258522034,175.8923797607422,0.0,197.0,57.54459762573242,0.0,0.6314102411270142,0.0,0,1,77.491,22.333333333333332,312
October_control__proxy_24h__vehicle_specific_9010__AUV1_region_A,vehicle_specific_9010,vehicle_specific_9010,October_control,1,24.0,REUSED,257.3137094974518,182.09194946289062,0.0,238.0,51.39012145996094,0.0,0.7677419185638428,0.0,0,1,75.589,21.866666666666667,310
October_control__proxy_24h__vehicle_specific_9010__AUV2_region_B,vehicle_specific_9010,vehicle_specific_9010,October_control,2,24.0,REUSED,229.02716875076294,188.36032104492188,0.0,288.0,48.35374450683594,0.0,0.891640841960907,0.0,0,1,75.945,21.833333333333332,323
C06_representative__proxy_24h__vehicle_specific_7030_penalty_both__AUV1_region_A,vehicle_specific_7030_penalty_both,vehicle_specific_7030,C06_representative,1,24.0,SUCCESS,301.3467681000184,160.55953979492188,225.0,0.0,212.37132263183594,0.755033552646637,0.0,0.00671140942722559,0,1,75.252,21.7,298
C06_representative__proxy_24h__vehicle_specific_7030_penalty_both__AUV2_region_B,vehicle_specific_7030_penalty_both,vehicle_specific_7030,C06_representative,2,24.0,SUCCESS,342.4847116000019,147.61331176757812,69.0,105.0,180.48223876953125,0.20972643792629242,0.3191489279270172,0.1367781162261963,1,2,72.031,20.633333333333333,329
October_control__proxy_24h__vehicle_specific_8020__AUV1_region_A,vehicle_specific_8020,vehicle_specific_8020,October_control,1,24.0,REUSED,279.4011015892029,188.01211547851562,0.0,235.0,56.847957611083984,0.0,0.7253086566925049,0.0,0,1,76.082,22.033333333333335,324
October_control__proxy_24h__vehicle_specific_8020__AUV2_region_B,vehicle_specific_8020,vehicle_specific_8020,October_control,2,24.0,REUSED,234.4502317905426,180.49484252929688,0.0,265.0,46.188392639160156,0.0,0.8603895902633667,0.0,0,1,76.289,22.0,308
October_control__proxy_24h__vehicle_specific_9010_penalty_both__AUV1_region_A,vehicle_specific_9010_penalty_both,vehicle_specific_9010,October_control,1,24.0,SUCCESS,266.7833041000122,182.09194946289062,0.0,238.0,51.39012145996094,0.0,0.7677419185638428,0.0,0,1,75.589,21.866666666666667,310
October_control__proxy_24h__vehicle_specific_9010_penalty_both__AUV2_region_B,vehicle_specific_9010_penalty_both,vehicle_specific_9010,October_control,2,24.0,SUCCESS,253.1304278000025,176.54071044921875,0.0,253.0,52.65871810913086,0.0,0.8214285969734192,0.0,0,1,75.176,21.583333333333332,308
October_control__proxy_24h__vehicle_specific_7030__AUV1_region_A,vehicle_specific_7030,vehicle_specific_7030,October_control,1,24.0,REUSED,256.7388017177582,139.1145477294922,150.0,76.0,135.2667236328125,0.4934210479259491,0.25,0.0,1,2,75.214,21.75,304
